,true_log,pred_log,true_orig,pred_orig,Latitude,Longitude,abs_error_log,rmse_error_log,abs_error_orig,rmse_error_orig
141,14.010255457801716,-0.14184296,1215000.0000000012,-0.13224249,38.8717,-75.8317,14.152098419113056,200.28188966426225,1215000.132242487,1476225321349.261
142,14.45736497045232,0.48428622,1899999.9999999993,0.6230161,39.5631,-77.0227,13.973078751570712,195.24692979759695,1899999.3769838803,3609997632539.1333
143,15.24582204373536,0.3362069,4180000.000000002,0.3996286,39.5317,-75.9401,14.909615130740976,222.29662334682024,4179999.6003713924,17472396659105.0
144,18.17221939747438,0.95086867,78000000.00000001,1.5879568,38.450050000000005,-76.98545,17.22135073130235,296.57492101052804,77999998.41204323,6083999752278746.0
145,13.710151153416941,-0.40755004,899999.9999999995,-0.33472183,38.4799,-76.008,14.117701190324137,199.30948689927956,900000.334721833,810000602499.4115
146,12.628070334272698,0.46868736,304999.99999999977,0.5978953,39.4722,-77.3981,12.159382978754357,147.85059442402118,304999.40210467554,93024635284.20955
147,15.520258832020865,-0.22467351,5500000.000000001,-0.20122303,39.21855,-76.0761,15.744932341618643,247.90289444214872,5500000.201223032,30250002213453.387
148,19.73063387451386,2.0918431,370599999.99999964,7.0998306,38.83129999999999,-76.8436,17.638790746309514,311.12693899209415,370599992.900169,1.3734435473760533e+17
149,16.308716093211594,0.54931706,12099999.999999993,0.73206973,39.0705,-76.0196,15.759399031310501,248.35865782807036,12099999.267930262,146409982283912.88
150,18.676872157052713,0.9866867,129199999.99999997,1.6823324,38.26395,-76.6185,17.690185450509745,312.94266127342667,129199998.31766757,1.6692639565285304e+16
151,13.45883704259595,-0.5149619,700000.0000000006,-0.40247664,38.1188,-75.7449,13.973798940922824,195.26705684133586,700000.4024766391,490000563467.4568
152,14.731801689838349,0.1636864,2499999.9999999995,0.17784488,38.7739,-76.0928,14.568115295146882,212.2299832526925,2499999.8221551175,6249999110775.619
153,14.45736497045232,0.09722018,1899999.9999999993,0.10210301,38.3737,-75.6193,14.360144788033496,206.2137583332856,1899999.8978969895,3609999612008.5703
154,14.914123179965662,-0.117215574,3000000.000000001,-0.11060656,38.2326,-75.27155,15.031338753753351,225.94114473008736,3000000.1106065596,9000000663639.37
155,17.494339701477234,2.3306956,39599999.99999999,9.285093,39.3312,-76.6096,15.16364407235736,229.9361015531385,39599990.714906685,1568159264620695.8
156,19.739766358052602,0.36671588,373999999.99999976,0.4429879,39.4418,-74.57119999999999,19.373050479804387,375.315084893049,373999999.55701184,1.3987599966864486e+17
157,18.5517090151307,0.8471266,114000000.00000018,1.3329338,39.8664,-74.65884999999999,17.704582412004175,313.4522383834476,113999998.6670664,1.299599969609114e+16
158,17.96655047961095,1.0331075,63500000.000000015,1.8097837,39.8038,-74.9599,16.93344296046117,286.741490495192,63499998.19021632,4032249770157475.5
159,18.985994558684244,-0.23165768,175999999.9999999,-0.20678239,39.135999999999996,-74.79724999999999,19.21765224253358,369.3181577149559,176000000.20678228,3.0976000072787364e+16
160,16.5563506464056,-0.041989982,15499999.999999987,-0.041120615,39.3735,-75.1099,16.598340628533744,275.504911620834,15500000.041120602,240250001274738.66
161,17.265498135541893,0.6988021,31500000.00000002,1.0113419,39.7173,-75.1419,16.566696022008873,274.4554170856446,31499998.98865809,992249936285460.6
162,16.300417291085605,-0.52095455,12000000.000000007,-0.4060467,39.5872,-75.3459,16.821371840398196,282.9585505929414,12000000.406046696,144000009745120.88
163,18.5159909328476,-0.12601882,110000000.00000012,-0.11840174,35.4947,-76.8631,18.642009755040746,347.52452770703434,110000000.11840186,1.2100000026048408e+16
164,14.978661680269907,-0.6397386,3200000.0000000023,-0.47256973,36.0662,-76.9791,15.618400299597452,243.9344279184658,3200000.472569736,10240003024446.535
165,13.815511557963774,0.62688595,999999.9999999997,0.8717727,36.3902,-76.2101,13.188625607398436,173.93984541212575,999999.1282272931,999998256455.3463
166,14.220976332738882,-0.5317058,1499999.9999999986,-0.41239822,36.1507,-76.608,14.75268212945748,217.64163001281406,1500000.4123982177,2250001237194.823
167,15.76142084987672,-0.05986604,6999999.999999995,-0.058109302,36.40065,-75.939,15.821286890821773,250.31311888168887,7000000.058109297,49000000813530.164
168,17.622173069956816,0.2348041,44999999.999999985,0.26466098,35.7753,-75.8577,17.387368976119078,302.3205999117082,44999999.735339,2024999976180510.2
169,14.220976332738882,-0.1878469,1499999.9999999986,-0.17125842,36.4444,-76.7017,14.408823231771475,207.61418692443738,1500000.1712584184,2250000513775.284
170,14.731801689838349,-0.6953506,2499999.9999999995,-0.5011005,36.359,-76.9838,15.42715227720636,237.9970273841134,2500000.50110048,6250002505502.651
171,15.424948670398354,-0.01074782,4999999.999999999,-0.010690269,35.5375,-76.2532,15.435696490537286,238.26072614798508,5000000.010690268,25000000106902.68
172,16.300417291085605,-0.55187696,12000000.000000007,-0.42413208,35.8416,-77.1071,16.85229425327051,283.99982159881426,12000000.424132086,144000010179170.25
173,15.955576839107596,-0.7418439,8499999.999999998,-0.523765,36.4177,-77.3967,16.697420718330466,278.8038586449315,8500000.523765026,72250008904005.7
174,17.50439003707821,-0.19201708,39999999.999999985,-0.17470723,35.1407,-76.7487,17.696407115477868,313.1628247967357,40000000.17470722,1600000013976577.5
175,15.424948670398354,-0.2308672,4999999.999999999,-0.20615512,36.2974,-76.2867,15.655815877448678,245.1045707885741,5000000.20615512,25000002061551.246
176,14.220976332738882,-0.36963946,1499999.9999999986,-0.3090166,36.2069,-76.4419,14.590615789011007,212.8860691025373,1500000.309016584,2250000927049.847
177,16.118095750958314,-0.40299207,9999999.999999996,-0.3316826,35.8161,-76.2118,16.521087820679536,272.9463427786057,10000000.331682589,100000006633651.89
